SCS Length,Count
19,524288
20,45350911
21,1321144086
22,11195457628
23,34130600892
24,43683982104
25,28656480094
26,12312857304
27,4267226842
28,1325970426
29,376523608
30,96303133
31,21742912
32,4245697
33,700206
34,94618
35,10042
36,784
37,40
38,1
