SCS Length,Count
22,56
23,14935
24,614908
25,7781228
26,37209109
27,75976536
28,75465942
29,43826503
30,18246128
31,6405113
32,2057473
33,615224
34,168955
35,41958
36,9278
37,1773
38,289
39,43
40,4
41,0
42,1
43,0
44,0
