SCS Length,Count
21,72
22,13698
23,500909
24,5588032
25,23196489
26,40745453
27,35214978
28,18368486
29,7150634
30,2407661
31,745452
32,214110
33,55570
34,12956
35,2670
36,459
37,85
38,12
39,2
40,0
41,0
42,0
