SCS Length,Count
29,42
30,13226
31,1020381
32,26687894
33,289927327
34,1454212320
35,3608360583
36,4768141257
37,3734757248
38,1994874875
39,837739306
40,308542213
41,105945371
42,34616625
43,10749100
44,3143404
45,858479
46,216671
47,49810
48,10663
49,1982
50,344
51,54
52,7
53,2
54,0
55,0
56,0
57,0
58,0
